entry_id,event_id,event_name,event_subtype_custom,description,date_in_text,source_date,location,location_normalized,brief_context,information_source,information_source_type,confidence,classification_confidence,keywords,text_fragment,category,month,month_name
97,REV1848_EUR_CONTEXT_GEN,"Общие упоминания Весны народов, беспорядков на Западе",Эскалация войны в Западной Европе,"Автор, читая газеты, отмечает, что война в Западной Европе продолжает разгораться, что является его общим восприятием продолжающихся революционных конфликтов 1848-1849 годов.",,1849-04-08,Западная Европа,Европа,"К весне 1849 года революционные войны и восстания продолжались в Венгрии, Италии и некоторых германских государствах, что создавало в прессе картину общеевропейского конфликта.",газеты,"Официальные источники (газеты, манифесты)",High,High,"['война', 'Западная Европа', 'газеты', 'эскалация', 'беспорядки']","Сегодня читал еще газеты, все кажется больше и больше разгорается война в Западной Европе...",REV1848,4,April
97,REV1848_ITA_FRA_INT,Французская интервенция в Риме,Обсуждение французского вмешательства в Италии,"Автор цитирует французского оратора из газет, который предупреждает, что вооруженное вмешательство Франции в дела Италии может спровоцировать общеевропейскую войну. Это относится к готовящейся французской интервенции против Римской республики.",,1849-04-08,Италия,Италия,"В апреле 1849 года французский экспедиционный корпус под командованием генерала Удино был отправлен в Италию, что привело к осаде и падению Римской республики в июле 1849 года.",газеты,"Официальные источники (газеты, манифесты)",High,High,"['Франция', 'Италия', 'интервенция', 'война', 'оратор']",...в одном тексте сказал между прочим один французский оратор «Вооруженным вмешательством (то есть Франции в дела Италии) мы причиним всеобщую войну...»,REV1848,4,April
97,RU_REACTION_FOREIGN_DIPLO,Дипломатические действия / Заявления,Восприятие России как консервативной силы,"Автор приводит цитату французского оратора, характеризующего Россию как «арьергард Европы», который не следует провоцировать, чтобы он не стал «авангардом». Это отражает европейское восприятие России как потенциального «жандарма Европы».",,1849-04-08,Европа,Европа,"После Манифеста 14 (26) марта 1848 года, осудившего революции, Россия воспринималась в Европе как главная контрреволюционная сила, готовая к военному вмешательству.",газеты,"Официальные источники (газеты, манифесты)",High,High,"['Россия', 'арьергард Европы', 'авангард', 'вмешательство', 'опасения']",Россия составляет теперь арьергард Европы. Не заставляйте же её сделаться авангардом.,RU_REACTION,4,April
97,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Размышления о причинах страха Европы перед Россией,"Автор делает личный вывод из прочитанного, что Европа боится России именно потому, что в Российской империи царит «тишина» и «спокойствие», в отличие от революционных беспорядков на Западе.",,1849-04-08,Россия,Россия,"Противопоставление стабильной, монархической России и охваченной хаосом революционной Европы было ключевым элементом официальной идеологии Николая I.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['опасения', 'Россия', 'тишина', 'спокойствие', 'личное мнение']","Из этого можно заключить что опасаются довольно России и ещё тем больше, что у нас все спокойно, тишина царствует в благословенном отечестве...",AUTHOR_PERCEPTION,4,April
97,RU_REACTION_SOCIAL_DISCUSS,Обсуждение событий / Слухи в обществе,Слухи о революционном духе молодежи в Петербурге,"Автор передает слух, услышанный от мадам Дозе, о том, что молодежь в Петербурге «заражена революционным духом мятежного запада». Это отражает распространение в провинциальном обществе тревожных слухов о внутреннем инакомыслии.",вчера (относительно 1849-04-08),1849-04-08,Петербург,"Санкт-Петербург, Россия","В апреле 1849 года, практически одновременно с этой записью, начались аресты членов кружка Петрашевского, что стало кульминацией борьбы властей с инакомыслием в эпоху «мрачного семилетия».","мадам Дозе (со слов Алекс. Денисовны, директорши)",Информация от конкретного лица (именованный источник),High,High,"['слухи', 'Петербург', 'молодежь', 'революционный дух', 'мятежный запад']","...но вот сказывают, именно вчера я слышал это от мадам Дозе, ей сказывали Алекс. Денисовна, директорша, что в Петербурге вся молодежь заражена этим революционным духом мятежного запада...",RU_REACTION,4,April
97,AUTHOR_PERCEPTION_OPINION_AUTH,Выражение поддержки/осуждения действий властей/конкретных государств,Уверенность в стабильности режима Николая I,"Автор выражает личное убеждение и поддержку действующей власти, заявляя, что пока правит «мудрый венценосец» Николай I, революционный переворот в России невозможен.",,1849-04-08,Россия,Россия,"Правление Николая I характеризовалось жестким подавлением любого инакомыслия и насаждением консервативной идеологии, что формировало у части общества уверенность в незыблемости самодержавия.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['Николай I', 'поддержка власти', 'мудрый венценосец', 'переворот', 'личное мнение']","...но пока царствует такой мудрый венценосец, как Николай Первый, этого никогда не может случиться...",AUTHOR_PERCEPTION,4,April
97,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Размышления о невозможности революции в России,"Автор размышляет о политической географии России, противопоставляя ее Франции. Он утверждает, что Петербург не сможет повести за собой всю страну, а Москва и другие города из-за патриотизма не поддержат возможные столичные волнения.",,1849-04-08,Россия,Россия,"Противопоставление «европеизированного» Петербурга и «исконно русской», патриархальной Москвы было распространенным мотивом в русской общественной мысли XIX века.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['Петербург', 'Москва', 'Париж', 'патриотизм', 'революция']","Петербург не Париж, не заменит всей целой России, Москва из-за одного патриотизма не последует, кажется, примеру Петербурга, а о других городах и говорить нечего.",AUTHOR_PERCEPTION,4,April
105,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Усиление дисциплины и введение военных порядков в гимназии,"Автор описывает, как директор Вологодской гимназии внезапно ввел новые, более строгие правила. Он собрал всех учеников, потребовал иметь при себе напечатанные правила и пригрозил еженедельно публично зачитывать проступки. Кроме того, была введена строевая подготовка в виде военного ""развода"". Эти меры являются ярким примером усиления контроля и дисциплины в учебных заведениях, что было частью общей реакционной политики правительства Николая I в ответ на революционные события в Европе и страх перед распространением либеральных идей. Автор, впрочем, скептически относится к долговечности этого нововведения.",,1849-04-16,гимназия,"Вологда, Россия","После европейских революций 1848 года правительство Николая I начало период реакции, известный как ""Мрачное семилетие"". Это включало значительное ужесточение контроля над университетами и школами для предотвращения распространения ""революционной заразы"".",Личные наблюдения автора,Личные наблюдения и опыт автора,Medium,High,"['гимназия', 'директор', 'дисциплина', 'правила', 'развод']","В гимназии в обед директору вздумалось опять выкинуть новость велел всех собрать в залу, Решетов прочитал правила о которых никто и не думает, директор закричал, что бы все их соблюдали и что бы были у всех напечатаны. «А чтобы, — говорит, — всех их, каждую субботу сюда собирать, и стану публично все шалости какие заметил в продолжении недели, читать о тех и стану осматривать правила». Потом был развод, два раза круг зала прошли пансионеры, потом велел выстроить вольно приходящих и идти так же в таком порядке, наконец всех отпустил по домам.",RU_REACTION,4,April
108,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Размышления о военной службе как выходе из жизненного кризиса,"Автор, испытывая глубокое разочарование в жизни и недовольство собой, начинает рассматривать военную службу как привлекательную альтернативу. Он противопоставляет бессмысленную, по его мнению, гражданскую жизнь осмысленной и почетной смерти на поле боя, что отражает его личные экзистенциальные поиски на фоне милитаристских настроений в обществе, вызванных событиями в Европе.",,1849-04-19,Не указано,,"Период 1848-1849 гг. в России характеризовался усилением патриотической и милитаристской риторики в ответ на 'Весну народов' в Европе, что влияло на умонастроения молодежи.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['военная служба', 'разочарование', 'смерть в бою', 'размышления', 'жизненный кризис']","Приходит иногда в голову, идти в военную службу, которой прежде я пренебрегал, считал ее машинизмом и механизмом, а не пищей для ума и тем больше что я в отношении сил физических во все и даже нисколько не способен; но главное хочется потому что я несчастлив именно тем, что недоволен самим собой и даже наскучило мне жить, раненько что то разочаровался...",AUTHOR_PERCEPTION,4,April
108,AUTHOR_PERCEPTION_OPINION_AUTH,Выражение поддержки/осуждения действий властей/конкретных государств,Поддержка идеи войны 'за царя и отечество',"Автор выражает личную готовность и желание умереть 'в сражении за царя за отечество'. Это является прямым выражением поддержки государственной идеологии и военных действий, предпринимаемых властями в контексте подавления европейских революций 1848-1849 гг., в частности, готовящейся интервенции в Венгрию.",,1849-04-19,Не указано,,В апреле 1849 года Российская империя готовилась к военной интервенции в Венгрию. Официальная риторика оправдывала войну необходимостью защиты монархических устоев и отечества от революционной 'заразы'.,Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['поддержка власти', 'царь', 'отечество', 'война', 'патриотизм']","а в сражении за царя за отечество, исполнив долг христианина, заплатив хоть малейшую дань человечеству, умираешь с честью и даже не раздастся на твоей могиле бабий плач.",AUTHOR_PERCEPTION,4,April
114,RU_REACTION_SOCIAL_DISCUSS,Обсуждение событий / Слухи в обществе,Слухи об отправке корпуса в Италию,"Автор дневника фиксирует слухи, циркулирующие в Вологде, о том, что российское правительство отправляет целый армейский корпус в Италию для участия в подавлении революционных событий. Это отражает распространение неофициальной информации о реакции России на ""Весну народов"".",,1849-04-25,Италия,Италия,"В апреле 1849 года Россия готовилась к интервенции в Венгрию для подавления восстания. Слухи в провинции могли неточно передавать цель похода, смешивая венгерские события с революциями в итальянских государствах, где также воевала союзная Австрия.",Слухи,"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['слухи', 'Италия', 'корпус', 'войска', 'интервенция']","Слухи ... что целый корпус посылают в Италию, и дивизия пехотная где командует Ночелов и где служит Губкин и недавно поступили два Михаила Золотиловы.",RU_REACTION,4,April
114,AUTHOR_PERCEPTION_IMPACT_ACQ,Влияние событий на знакомых/родственников автора,"Знакомые служат в дивизии, отправляемой в Европу","Автор персонализирует слухи о военной интервенции, упоминая своих знакомых (Губкин, братья Золотиловы), которые служат в пехотной дивизии, предположительно отправляемой в поход. Это показывает, как далекие европейские события затрагивали личные связи в российской провинции.",,1849-04-25,Не указано,,"Мобилизация для европейского похода 1849 года затронула офицеров и солдат из дворянских семей по всей России, делая войну предметом личной обеспокоенности для многих.",Слухи,"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['знакомые', 'Губкин', 'Золотиловы', 'дивизия', 'военная служба']",...и дивизия пехотная где командует Ночелов и где служит Губкин и недавно поступили два Михаила Золотиловы.,AUTHOR_PERCEPTION,4,April
114,AUTHOR_PERCEPTION_IMPACT_SELF,Прямое влияние событий на жизнь/планы автора,Размышления о поступлении на военную службу,"Воспринимая европейские события как разгорающуюся ""кровавую бурю"", автор под влиянием новостей о военной кампании размышляет о возможности самому пойти на войну в Италию. Он рассматривает это как реальный жизненный выбор, но в итоге отказывается от этой идеи.",,1849-04-25,Италия,Италия,Для молодых дворян участие в крупной военной кампании было традиционным способом сделать карьеру и обрести общественный статус.,Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['военная служба', 'Италия', 'личный выбор', 'воинский дух', 'планы']","Так то разгорается больше и больше все, зашумит кровавая буря не идти ли мне в Италию желающих верно примут, но нет во мне прошел уже этот дух воинский сегодня не расположен, да главное не преодолимые препятствия без благословения материнского не пойдешь да что опять из-за чего и оскорблять их;",AUTHOR_PERCEPTION,4,April
114,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем","Оценка войны как политической, а не отечественной","Автор выносит собственное суждение о характере европейского конфликта, определяя его как ""политический"", а не ""отечественный"". Он считает участие в такой войне неуместным (""в чужом пиру похмелье""), противопоставляя ей пользу на гражданском поприще. Это демонстрирует критическое осмысление официальной повестки.",,1849-04-25,Не указано,,"Официальная пропаганда Российской империи представляла интервенцию как священную борьбу за порядок и веру против безбожной революции. Мнение автора о ""политическом"" характере войны отражает более прагматичный или даже скептический взгляд.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['политическая война', 'отечественная война', 'личное мнение', 'оценка', 'гражданское поприще']","война эта больше политическая, а не отечественная, так зачем в чужом пиру похмелье принимать лучше тоже быть полезным на поприще гражданском, а когда поважнее и будет меньше препятствий, так небось не струшу.",AUTHOR_PERCEPTION,4,April
116,RU_REACTION_SOCIAL_DISCUSS,Обсуждение событий / Слухи в обществе,Слухи/ожидание отправки русского корпуса в Италию,"Автор, прочитав газеты, отмечает отсутствие новостей об отправке русского корпуса в Италию и высказывает личное предположение, что эту информацию могут намеренно скрывать. Это отражает циркулирующие в обществе ожидания или слухи о возможном российском военном вмешательстве в итальянские революционные события, а также недоверие автора к полноте официальной информации.",,1849-04-27,Италия,Италия,"В этот период Россия готовилась к интервенции в Венгрию для подавления восстания. Хотя прямого вмешательства в Италии не было, слухи о такой возможности могли циркулировать в контексте общей контрреволюционной политики Николая I.",Газеты (и личные догадки автора),"Официальные источники (газеты, манифесты)",High,High,"['русский корпус', 'Италия', 'слухи', 'скрывают', 'газеты']","почитал газет, особенного еще нет ничего, а о отправлении Русского корпуса в Италию и знаку нет, верно до времени скрывают",RU_REACTION,4,April
116,REV1848_ITA_FRA_INT,Французская интервенция в Риме,Неопределенность французской позиции по Италии,"Автор, основываясь на газетных сведениях, отмечает неопределенность позиции Франции относительно участия в ""делах Италии"". Это точно отражает исторический момент конца апреля 1849 года, когда французский экспедиционный корпус уже высадился, но его конечные цели еще не были ясны для внешних наблюдателей.",,1849-04-27,Италия,Италия,"25 апреля 1849 года французский экспедиционный корпус высадился в Чивитавеккье. Изначально цели миссии были заявлены как защита папы и порядка, что создавало неопределенность относительно их намерений по отношению к Римской республике.",Газеты,"Официальные источники (газеты, манифесты)",High,High,"['Франция', 'Италия', 'интервенция', 'газеты', 'неизвестно']","Франция еще ни то ни се, неизвестно примет или нет участие в делах Италии, тогда может быть несколько пояснее будут видны обстоятельства.",REV1848,4,April
118,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Изменение формата учебных 'бесед' в гимназии,"Автор описывает изменение в учебном процессе в его гимназии: 'беседы' (дискуссии) перестали быть практическими упражнениями в устной аргументации и превратились в зачитывание заранее подготовленных письменных возражений. Это изменение, ограничивающее спонтанные дебаты, является характерным примером усиления контроля над образованием в России после революций 1848 года с целью пресечения вольнодумства.",,1849-04-29,Вологодская губернская гимназия,"Вологда, Россия","После европейских революций 1848 г. в России начался период 'мрачного семилетия' (1848-1855), характеризующийся усилением цензуры и государственного контроля, особенно в сфере образования, для борьбы с 'революционной заразой'.",Личные наблюдения автора,Личные наблюдения и опыт автора,High,High,"['образование', 'гимназия', 'контроль', 'беседы', 'вольнодумство']","нынче совсем изменились беседы и просто стали классом словесности а не практическими упражнениями учеников в сочинениях, вместо нас только директор да инспектор один перед другим стараются показать свои знания, ввелось в обыкновение писать возражения, а не говорить тут же их и здесь искажение главной цели, именно ученик не привыкает говорить и изъяснятся как бы следовало",RU_REACTION,4,April
118,AUTHOR_PERCEPTION_OPINION_AUTH,Выражение поддержки/осуждения действий властей/конкретных государств,Критика изменений в системе образования,"Автор дневника прямо выражает свое неодобрение и критикует новые порядки в гимназии, введенные администрацией (директором и инспектором). Он считает, что замена устных дебатов письменными работами является 'искажением главной цели' образования и мешает ученикам развивать навыки публичной речи и аргументации.",,1849-04-29,Вологодская губернская гимназия,"Вологда, Россия","Критика даже локальных административных решений в сфере образования в этот период была проявлением инакомыслия, так как эти изменения являлись частью общей государственной реакционной политики Николая I.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['критика', 'неодобрение', 'образование', 'директор', 'инспектор']","и здесь искажение главной цели, именно ученик не привыкает говорить и изъяснятся как бы следовало как будто он только что приготовил обдумает раньше то и читает, этим все дело и кончается.",AUTHOR_PERCEPTION,4,April
119,RU_REACTION_INTERNAL_ANTIWEST,"Государственные меры против ""западного влияния"" (указы, ограничения)",Слухи об указе о бритье усов и бород,"Автор сообщает о распространившихся слухах касательно ""именного повеления"" государя, которое обязывает всех гражданских лиц сбривать усы и бороды. Эта мера прямо связывается с борьбой против ""подражания Западу"", что является характерной чертой внутренней политики Николая I в ответ на европейские революции 1848-1849 гг.",,1849-04-30,Россия,Россия,"В период ""мрачного семилетия"" (1848-1855) император Николай I усилил борьбу с инакомыслием и западным влиянием. Запрет на ношение бород и усов для гражданских лиц был одной из таких мер, направленных на унификацию внешнего вида и пресечение ""вольнодумных"" мод.",говорят,"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['указ', 'бороды', 'усы', 'Запад', 'подражание']","Вышло говорят именное повеление всем кто не служит в военной службе брить усы и бороды, государь заметил подражание в своем народе Западу и вот теперь многие уже львы начинают сбривать различные эспаньолки.",RU_REACTION,4,April
119,AUTHOR_PERCEPTION_OPINION_AUTH,Выражение поддержки/осуждения действий властей/конкретных государств,Одобрение указа о бритье бород,"Автор дневника прямо и восторженно выражает свое личное одобрение предполагаемого указа о запрете бород и усов. Он называет это решение ""превосходным"" и ""чудесным"", а также высказывает пожелание о более строгом контроле за его исполнением, что демонстрирует его консервативные, монархические взгляды и поддержку антизападной политики властей.",,1849-04-30,Россия,Россия,"Поддержка консервативных мер правительства была широко распространена в определённых слоях российского общества, особенно в провинции, как реакция на пугающие известия о революциях в Европе.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['превосходно', 'чудесно', 'государь', 'поддержка власти', 'личное мнение']","Это превосходно если только правда, чудесно сделал государь, строже бы за этим следить что тогда скажут все эти львы, барсы и прочие высшего круга.",AUTHOR_PERCEPTION,4,April
122,RU_REACTION_FOREIGN_MOBIL,Мобилизация / Передвижение войск,Призыв бессрочно-отпускных солдат,"Автор дневника сообщает о призыве на службу бессрочно-отпускных солдат, что является формой военной мобилизации в Российской империи. Эта мера напрямую связана с подготовкой к интервенции в Венгрию для подавления революции.",,1849-05-03,Россия,Россия,"В апреле 1849 года был опубликован Манифест Николая I о помощи Австрии в подавлении венгерского восстания, что потребовало мобилизации дополнительных воинских контингентов, включая призыв солдат из бессрочного отпуска.",Не указан,Источник неясен/не указан,High,High,"['мобилизация', 'солдаты', 'бессрочно-отпускные', 'война', 'армия']","Вот верно наступает жаркое дело, интересное в политическом мире, остальных всех бессрочно отпускных солдат требуют под ружье...",RU_REACTION,5,May
122,RU_REACTION_SOCIAL_DISCUSS,Обсуждение событий / Слухи в обществе,Слухи о грядущем рекрутском наборе и войне,"Автор передает циркулирующие в обществе слухи (""поговаривают"") о том, что к осени будет объявлен рекрутский набор, и делает вывод о неизбежности войны. Это отражает распространение неофициальной информации и настроений в провинции в связи с европейскими событиями.",к осени,1849-05-03,Вологда,"Вологда, Россия",Слухи о рекрутских наборах и войне активно циркулировали в российском обществе весной-летом 1849 года в связи с началом Венгерского похода русской армии.,Поговаривают,"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['слухи', 'набор', 'война', 'общество', 'поговаривают']","...поговаривают что к осени будет набор видно, война! Война!",RU_REACTION,5,May
122,AUTHOR_PERCEPTION_EMO_CURIOSITY,"Любопытство, интерес",Интерес к военно-политическим событиям,"Автор выражает личный интерес и любопытство к политическим событиям, связанным с мобилизацией и слухами о войне, называя их ""жаркое дело, интересное в политическом мире"". Это демонстрирует его эмоциональное восприятие надвигающегося конфликта как чего-то захватывающего.",,1849-05-03,Не указано,,"Для молодого дворянина в провинции, оторванного от центров политической жизни, новости о большой европейской войне могли восприниматься как значимое и волнующее событие, нарушающее рутину.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['интерес', 'любопытство', 'жаркое дело', 'политический мир', 'личное восприятие']","Вот верно наступает жаркое дело, интересное в политическом мире...",AUTHOR_PERCEPTION,5,May
122,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Слухи о реформе гимназии из-за войны,"Автор передает слухи (""говорят"") о грядущей реформе в гимназии и напрямую связывает ее (""по этой причине"") с общей военно-политической обстановкой. Это отражает восприятие усиления государственного контроля над образованием как реакции на европейские революции.",на будущий год,1849-05-03,гимназия,"Вологда, Россия","Период 1848-1855 гг. в России известен как ""мрачное семилетие"", когда правительство, опасаясь распространения революционных идей, резко усилило контроль над системой образования.",Говорят,"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['гимназия', 'реформа', 'образование', 'переворот', 'слухи']","А и в нашем мире в гимназии говорят на будущий год будет переворот большой, разделение старших трех классов на два факультета по этой причине...",RU_REACTION,5,May
122,AUTHOR_PERCEPTION_IMPACT_SELF,Прямое влияние событий на жизнь/планы автора,Надежда на досрочный выпуск и получение чина,"Автор размышляет, как предполагаемая реформа гимназии, которую он считает следствием политической обстановки, может повлиять на его судьбу. Он прямо выражает надежду на досрочный выпуск и получение чина, что является ожидаемым личным последствием этих событий.",,1849-05-03,Не указано,,Для дворянина в XIX веке окончание гимназии и получение первого классного чина по Табели о рангах было важным шагом для начала карьеры на государственной службе.,Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['выпуск', 'чин', 'надежда', 'личные планы', 'гимназия']","...и мы немного надеемся на выпуск, не зачем будет держать нас в гимназии авось и мне дадут чин; а это не худо бы...",AUTHOR_PERCEPTION,5,May
122,AUTHOR_PERCEPTION_EMO_CURIOSITY,"Любопытство, интерес",Интерес к будущим нововведениям в гимназии,"Помимо надежды на личную выгоду, автор выражает сильное любопытство к грядущим изменениям в гимназии, которые он связывает с общей политической ситуацией. Он прямо пишет, что ему ""хочется остаться в гимназии, посмотреть на будущие нововведения"".",,1849-05-03,Не указано,,"Реформы в сфере образования, даже консервативного толка, могли вызывать живой интерес у учащихся, так как напрямую меняли их повседневную жизнь и будущее.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['любопытство', 'нововведения', 'гимназия', 'реформа', 'остаться']","...мне еще что-то хочется остаться в гимназии, посмотреть на будущие нововведения, любопытно видеть как тогда будет все иначе, новое преобразование гимназии...",AUTHOR_PERCEPTION,5,May
124,RU_REACTION_FOREIGN_MOBIL,Мобилизация / Передвижение войск,Сбор бессрочно отпущенных солдат и слухи о войне,"Автор отмечает, что в обществе активно обсуждается приказ о сборе бессрочно отпущенных солдат, что немедленно порождает слухи о начале войны. Это отражает реакцию на низовом уровне на военные приготовления правительства.",вчера (относительно 1849-05-05),1849-05-05,Вологда,"Вологда, Россия","В рамках подготовки к походу в Венгрию, в апреле 1849 года был объявлен призыв на действительную службу бессрочноотпускных нижних чинов в западных губерниях.",Разговоры в обществе,"Неофициальные сведения (слухи, разговоры в обществе)",High,High,"['мобилизация', 'солдаты', 'слухи', 'война', 'бессрочно отпущенные']","Удивительно, как скоро разлетается всякая важная новость, еще вчера говорили, для чего бы это велено собрать всех бессрочно отпущенных солдат, а сегодня толкуют уже о начале войны.",RU_REACTION,5,May
